"submission_id","post_id","participant_id","severity","confidence","in_group","honey","copied","time_taken","created_at"
"68dad25e6ad743fe1e68a0cc","1c88860","669424e6b661e0a098ec66a4","1","low","false","false","false","357","2025-09-29 19:06:28.938029+00"
"68dad25e6ad743fe1e68a0cc","94fypq","669424e6b661e0a098ec66a4","2","high","false","true","false","57","2025-09-29 19:06:29.07171+00"
"68dad25e6ad743fe1e68a0cc","sps84z","669424e6b661e0a098ec66a4","0","low","false","true","false","0","2025-09-29 19:06:29.07514+00"
"68dad25e6ad743fe1e68a0cc","zv6nl9","669424e6b661e0a098ec66a4","1","high","false","false","false","37","2025-09-29 19:06:29.076593+00"
"68dad26087dce85788a15d5c","lyrtxr","610508c09d61c098f072605b","0","high","false","false","false","105","2025-09-29 19:13:13.215699+00"
"68dad2f93fadf462d267e3b0","jgzson","63653f82b4f4413845936b75","0","high","true","false","false","15","2025-09-29 19:16:48.594545+00"
"68dad2f93fadf462d267e3b0","1bfwbkk","63653f82b4f4413845936b75","1","high","true","false","false","39","2025-09-29 19:16:48.601511+00"
"68dad2f93fadf462d267e3b0","9gjjrz","63653f82b4f4413845936b75","4","high","true","false","false","60","2025-09-29 19:16:48.613748+00"
"68dad2f93fadf462d267e3b0","fpoti7","63653f82b4f4413845936b75","1","high","true","false","false","28","2025-09-29 19:16:48.615743+00"
"68dad2f93fadf462d267e3b0","cciv7z","63653f82b4f4413845936b75","3","high","true","true","false","42","2025-09-29 19:16:48.621254+00"
"68dad2f93fadf462d267e3b0","17r3015","63653f82b4f4413845936b75","3","high","true","false","false","41","2025-09-29 19:16:48.626234+00"
"68dad2f93fadf462d267e3b0","19e6fnn","63653f82b4f4413845936b75","4","high","true","false","false","73","2025-09-29 19:16:48.632145+00"
"68dad2f93fadf462d267e3b0","1d1f9io","63653f82b4f4413845936b75","4","low","true","false","false","79","2025-09-29 19:16:48.636654+00"
"68dad2f93fadf462d267e3b0","183zuu0","63653f82b4f4413845936b75","1","high","true","false","false","38","2025-09-29 19:16:48.638976+00"
"68dad2f93fadf462d267e3b0","hvuz6p","63653f82b4f4413845936b75","1","high","true","false","false","18","2025-09-29 19:16:48.641722+00"
"68dad35f778cf876bbfdee0c","cciv7z","66293da691cec8862619b1dc","3","high","true","true","false","45","2025-09-29 19:22:08.224811+00"
